url,subdir1,subdir2,current_datetime,total_images1,total_images2,changed_images,percentage_change,category,interval
www.amazon.com.tr,1 min 1\www.amazon.com.tr\www.amazon.com.tr_1_1_2,1 min 1\www.amazon.com.tr\www.amazon.com.tr_1_1_3,2024-04-29 03:13:15,10,205,0,0.0,Online Retail,1 minute
www.bbc.co.uk,1 min 1\www.bbc.co.uk\www.bbc.co.uk_1_1_1,1 min 1\www.bbc.co.uk\www.bbc.co.uk_1_1_2,2024-04-29 03:23:40,73,60,0,0.0,News,1 minute
www.bbc.co.uk,1 min 1\www.bbc.co.uk\www.bbc.co.uk_1_1_2,1 min 1\www.bbc.co.uk\www.bbc.co.uk_1_1_3,2024-04-29 03:25:22,60,60,0,0.0,News,1 minute
www.bloomberg.com,1 min 1\www.bloomberg.com\www.bloomberg.com_1_1_1,1 min 1\www.bloomberg.com\www.bloomberg.com_1_1_2,2024-04-29 03:24:19,15,15,3,20.0,Economy/Finance,1 minute
www.cnn.com,1 min 1\www.cnn.com\www.cnn.com_1_1_1,1 min 1\www.cnn.com\www.cnn.com_1_1_2,2024-04-29 03:12:27,67,42,0,0.0,News,1 minute
www.cricbuzz.com,1 min 1\www.cricbuzz.com\www.cricbuzz.com_1_1_1,1 min 1\www.cricbuzz.com\www.cricbuzz.com_1_1_2,2024-04-29 02:54:55,65,49,0,0.0,Sports,1 minute
www.diretta.it,1 min 1\www.diretta.it\www.diretta.it_1_1_1,1 min 1\www.diretta.it\www.diretta.it_1_1_2,2024-04-29 03:13:12,968,240,0,0.0,Sports,1 minute
www.doubtnut.com,1 min 1\www.doubtnut.com\www.doubtnut.com_1_1_1,1 min 1\www.doubtnut.com\www.doubtnut.com_1_1_2,2024-04-29 02:52:58,12,12,0,0.0,Education,1 minute
www.doubtnut.com,1 min 1\www.doubtnut.com\www.doubtnut.com_1_1_2,1 min 1\www.doubtnut.com\www.doubtnut.com_1_1_3,2024-04-29 02:54:20,12,12,0,0.0,Education,1 minute
www.dzexams.com,1 min 1\www.dzexams.com\www.dzexams.com_1_1_1,1 min 1\www.dzexams.com\www.dzexams.com_1_1_2,2024-04-29 02:36:00,6,6,0,0.0,Education,1 minute
www.ebay.com,1 min 1\www.ebay.com\www.ebay.com_1_1_1,1 min 1\www.ebay.com\www.ebay.com_1_1_2,2024-04-29 02:54:17,14,13,1,7.142857142857142,Online Retail,1 minute
www.ebay.com,1 min 1\www.ebay.com\www.ebay.com_1_1_2,1 min 1\www.ebay.com\www.ebay.com_1_1_3,2024-04-29 02:55:57,13,12,0,0.0,Online Retail,1 minute
www.goojara.to,1 min 1\www.goojara.to\www.goojara.to_1_1_1,1 min 1\www.goojara.to\www.goojara.to_1_1_2,2024-04-29 02:23:08,7,7,0,0.0,Entertainment,1 minute
www.goojara.to,1 min 1\www.goojara.to\www.goojara.to_1_1_2,1 min 1\www.goojara.to\www.goojara.to_1_1_3,2024-04-29 02:24:09,7,7,0,0.0,Entertainment,1 minute
www.goojara.to,1 min 1\www.goojara.to\www.goojara.to_1_1_3,1 min 1\www.goojara.to\www.goojara.to_1_1_4,2024-04-29 02:25:24,7,7,0,0.0,Entertainment,1 minute
www.gov.br,1 min 1\www.gov.br\www.gov.br_1_1_1,1 min 1\www.gov.br\www.gov.br_1_1_2,2024-04-29 02:38:22,13,13,0,0.0,Government,1 minute
www.gov.uk,1 min 1\www.gov.uk\www.gov.uk_1_1_1,1 min 1\www.gov.uk\www.gov.uk_1_1_2,2024-04-29 02:23:40,3,3,0,0.0,Government,1 minute
www.gov.uk,1 min 1\www.gov.uk\www.gov.uk_1_1_2,1 min 1\www.gov.uk\www.gov.uk_1_1_3,2024-04-29 02:25:10,3,3,0,0.0,Government,1 minute
www.gov.uk,1 min 1\www.gov.uk\www.gov.uk_1_1_3,1 min 1\www.gov.uk\www.gov.uk_1_1_4,2024-04-27 19:33:02,3,3,0,0.0,Government,1 minute
www.healthline.com,1 min 1\www.healthline.com\www.healthline.com_1_1_1,1 min 1\www.healthline.com\www.healthline.com_1_1_2,2024-04-29 02:24:05,62,62,15,24.193548387096776,Health,1 minute
www.lemonde.fr,1 min 1\www.lemonde.fr\www.lemonde.fr_1_1_1,1 min 1\www.lemonde.fr\www.lemonde.fr_1_1_2,2024-04-29 02:25:40,92,92,2,2.1739130434782608,News,1 minute
www.livescore.com,1 min 1\www.livescore.com\www.livescore.com_1_1_1,1 min 1\www.livescore.com\www.livescore.com_1_1_2,2024-04-29 02:25:48,55,46,0,0.0,Sports,1 minute
www.netflix.com,1 min 1\www.netflix.com\www.netflix.com_1_1_1,1 min 1\www.netflix.com\www.netflix.com_1_1_2,2024-04-29 02:36:39,8,7,0,0.0,Entertainment,1 minute
www.netflix.com,1 min 1\www.netflix.com\www.netflix.com_1_1_2,1 min 1\www.netflix.com\www.netflix.com_1_1_3,2024-04-29 02:37:55,7,7,0,0.0,Entertainment,1 minute
www.nikkansports.com,1 min 1\www.nikkansports.com\www.nikkansports.com_1_1_1,1 min 1\www.nikkansports.com\www.nikkansports.com_1_1_2,2024-04-29 02:38:28,10,10,0,0.0,Sports,1 minute
www.paypal.com,1 min 1\www.paypal.com\www.paypal.com_1_1_1,1 min 1\www.paypal.com\www.paypal.com_1_1_2,2024-04-29 02:52:32,18,19,10,55.55555555555556,Economy/Finance,1 minute
www.paypal.com,1 min 1\www.paypal.com\www.paypal.com_1_1_2,1 min 1\www.paypal.com\www.paypal.com_1_1_3,2024-04-29 02:54:03,19,18,6,31.57894736842105,Economy/Finance,1 minute
www.primevideo.com,1 min 1\www.primevideo.com\www.primevideo.com_1_1_1,1 min 1\www.primevideo.com\www.primevideo.com_1_1_2,2024-04-29 02:53:21,6,6,0,0.0,Entertainment,1 minute
www.primevideo.com,1 min 1\www.primevideo.com\www.primevideo.com_1_1_2,1 min 1\www.primevideo.com\www.primevideo.com_1_1_3,2024-04-29 02:54:33,6,6,0,0.0,Entertainment,1 minute
www.primevideo.com,1 min 1\www.primevideo.com\www.primevideo.com_1_1_3,1 min 1\www.primevideo.com\www.primevideo.com_1_1_4,2024-04-29 02:55:34,6,6,0,0.0,Entertainment,1 minute
www.starhealth.in,1 min 1\www.starhealth.in\www.starhealth.in_1_1_1,1 min 1\www.starhealth.in\www.starhealth.in_1_1_2,2024-04-29 02:53:12,1,0,0,0.0,Health,1 minute
www.starhealth.in,1 min 1\www.starhealth.in\www.starhealth.in_1_1_2,1 min 1\www.starhealth.in\www.starhealth.in_1_1_3,2024-04-29 02:54:56,0,0,0,0.0,Health,1 minute
www.tjk.org,1 min 1\www.tjk.org\www.tjk.org_1_1_1,1 min 1\www.tjk.org\www.tjk.org_1_1_2,2024-04-29 02:24:02,34,33,0,0.0,Weather,1 minute
www.tjk.org,1 min 1\www.tjk.org\www.tjk.org_1_1_2,1 min 1\www.tjk.org\www.tjk.org_1_1_3,2024-04-29 02:25:28,33,3,0,0.0,Weather,1 minute
www.turkiye.gov.tr,1 min 1\www.turkiye.gov.tr\www.turkiye.gov.tr_1_1_1,1 min 1\www.turkiye.gov.tr\www.turkiye.gov.tr_1_1_2,2024-04-29 02:35:17,30,30,0,0.0,Government,1 minute
www.typing.com,1 min 1\www.typing.com\www.typing.com_1_1_1,1 min 1\www.typing.com\www.typing.com_1_1_2,2024-04-29 02:23:13,21,21,0,0.0,Education,1 minute
www.typing.com,1 min 1\www.typing.com\www.typing.com_1_1_2,1 min 1\www.typing.com\www.typing.com_1_1_3,2024-04-29 02:25:23,21,20,0,0.0,Education,1 minute
www.verywellhealth.com,1 min 1\www.verywellhealth.com\www.verywellhealth.com_1_1_1,1 min 1\www.verywellhealth.com\www.verywellhealth.com_1_1_2,2024-04-29 02:24:31,22,21,0,0.0,Health,1 minute
www.verywellhealth.com,1 min 1\www.verywellhealth.com\www.verywellhealth.com_1_1_2,1 min 1\www.verywellhealth.com\www.verywellhealth.com_1_1_3,2024-04-29 02:25:57,21,21,0,0.0,Health,1 minute
aniwatchtv.to,5 min 1\aniwatchtv.to\aniwatchtv.to_5_1_1,5 min 1\aniwatchtv.to\aniwatchtv.to_5_1_2,2024-04-27 20:23:07,8,0,0,0.0,Entertainment,5 minutes
es.aliexpress.com,5 min 1\es.aliexpress.com\es.aliexpress.com_5_1_1,5 min 1\es.aliexpress.com\es.aliexpress.com_5_1_2,2024-04-29 00:37:57,87,88,1,1.1494252873563218,Online Retail,5 minutes
es.aliexpress.com,5 min 1\es.aliexpress.com\es.aliexpress.com_5_1_2,5 min 1\es.aliexpress.com\es.aliexpress.com_5_1_3,2024-04-29 00:46:25,88,88,1,1.1363636363636365,Online Retail,5 minutes
finance.yahoo.com,5 min 1\finance.yahoo.com\finance.yahoo.com_5_1_1,5 min 1\finance.yahoo.com\finance.yahoo.com_5_1_2,2024-04-27 20:21:11,39,39,0,0.0,Economy/Finance,5 minutes
finance.yahoo.com,5 min 1\finance.yahoo.com\finance.yahoo.com_5_1_2,5 min 1\finance.yahoo.com\finance.yahoo.com_5_1_3,2024-04-27 20:29:06,39,39,0,0.0,Economy/Finance,5 minutes
health.findanyanswer.net,5 min 1\health.findanyanswer.net\health.findanyanswer.net_5_1_1,5 min 1\health.findanyanswer.net\health.findanyanswer.net_5_1_2,2024-04-27 20:38:01,0,0,0,0.0,Health,5 minutes
pubmed.ncbi.nlm.nih.gov,5 min 1\pubmed.ncbi.nlm.nih.gov\pubmed.ncbi.nlm.nih.gov_5_1_1,5 min 1\pubmed.ncbi.nlm.nih.gov\pubmed.ncbi.nlm.nih.gov_5_1_2,2024-04-27 20:26:05,0,0,0,0.0,Government,5 minutes
pubmed.ncbi.nlm.nih.gov,5 min 1\pubmed.ncbi.nlm.nih.gov\pubmed.ncbi.nlm.nih.gov_5_1_2,5 min 1\pubmed.ncbi.nlm.nih.gov\pubmed.ncbi.nlm.nih.gov_5_1_3,2024-04-27 20:33:32,0,0,0,0.0,Government,5 minutes
stackoverflow.com,5 min 1\stackoverflow.com\stackoverflow.com_5_1_1,5 min 1\stackoverflow.com\stackoverflow.com_5_1_2,2024-04-27 20:18:42,15,12,12,80.0,Education,5 minutes
stackoverflow.com,5 min 1\stackoverflow.com\stackoverflow.com_5_1_2,5 min 1\stackoverflow.com\stackoverflow.com_5_1_3,2024-04-27 20:24:13,12,12,0,0.0,Education,5 minutes
stackoverflow.com,5 min 1\stackoverflow.com\stackoverflow.com_5_1_3,5 min 1\stackoverflow.com\stackoverflow.com_5_1_4,2024-04-27 20:39:18,12,7,6,50.0,Education,5 minutes
weather.com,5 min 1\weather.com\weather.com_5_1_1,5 min 1\weather.com\weather.com_5_1_2,2024-04-27 20:31:51,1,1,0,0.0,Weather,5 minutes
weathernews.jp,5 min 1\weathernews.jp\weathernews.jp_5_1_1,5 min 1\weathernews.jp\weathernews.jp_5_1_2,2024-04-29 00:34:12,46,46,0,0.0,Weather,5 minutes
weathernews.jp,5 min 1\weathernews.jp\weathernews.jp_5_1_2,5 min 1\weathernews.jp\weathernews.jp_5_1_3,2024-04-29 00:39:08,46,46,0,0.0,Weather,5 minutes
weathernews.jp,5 min 1\weathernews.jp\weathernews.jp_5_1_3,5 min 1\weathernews.jp\weathernews.jp_5_1_4,2024-04-29 00:43:59,46,46,0,0.0,Weather,5 minutes
www.amazon.com.tr,5 min 1\www.amazon.com.tr\www.amazon.com.tr_5_1_1,5 min 1\www.amazon.com.tr\www.amazon.com.tr_5_1_2,2024-04-27 20:20:43,207,10,0,0.0,Online Retail,5 minutes
www.amazon.com.tr,5 min 1\www.amazon.com.tr\www.amazon.com.tr_5_1_2,5 min 1\www.amazon.com.tr\www.amazon.com.tr_5_1_3,2024-04-27 20:26:18,10,191,0,0.0,Online Retail,5 minutes
www.bbc.co.uk,5 min 1\www.bbc.co.uk\www.bbc.co.uk_5_1_1,5 min 1\www.bbc.co.uk\www.bbc.co.uk_5_1_2,2024-04-27 20:20:04,60,60,0,0.0,News,5 minutes
www.bbc.co.uk,5 min 1\www.bbc.co.uk\www.bbc.co.uk_5_1_2,5 min 1\www.bbc.co.uk\www.bbc.co.uk_5_1_3,2024-04-27 20:27:00,60,58,0,0.0,News,5 minutes
www.bloomberg.com,5 min 1\www.bloomberg.com\www.bloomberg.com_5_1_1,5 min 1\www.bloomberg.com\www.bloomberg.com_5_1_2,2024-04-27 20:23:40,0,0,0,0.0,Economy/Finance,5 minutes
www.bloomberg.com,5 min 1\www.bloomberg.com\www.bloomberg.com_5_1_2,5 min 1\www.bloomberg.com\www.bloomberg.com_5_1_3,2024-04-27 20:33:16,0,0,0,0.0,Economy/Finance,5 minutes
www.cnn.com,5 min 1\www.cnn.com\www.cnn.com_5_1_1,5 min 1\www.cnn.com\www.cnn.com_5_1_2,2024-04-27 21:41:38,42,42,0,0.0,News,5 minutes
www.cnn.com,5 min 1\www.cnn.com\www.cnn.com_5_1_2,5 min 1\www.cnn.com\www.cnn.com_5_1_3,2024-04-27 21:53:22,42,40,13,30.952380952380956,News,5 minutes
www.cricbuzz.com,5 min 1\www.cricbuzz.com\www.cricbuzz.com_5_1_1,5 min 1\www.cricbuzz.com\www.cricbuzz.com_5_1_2,2024-04-29 00:34:35,48,49,0,0.0,Sports,5 minutes
www.cricbuzz.com,5 min 1\www.cricbuzz.com\www.cricbuzz.com_5_1_2,5 min 1\www.cricbuzz.com\www.cricbuzz.com_5_1_3,2024-04-29 00:40:21,49,49,0,0.0,Sports,5 minutes
www.cricbuzz.com,5 min 1\www.cricbuzz.com\www.cricbuzz.com_5_1_3,5 min 1\www.cricbuzz.com\www.cricbuzz.com_5_1_4,2024-04-29 00:45:33,49,49,0,0.0,Sports,5 minutes
www.diretta.it,5 min 1\www.diretta.it\www.diretta.it_5_1_1,5 min 1\www.diretta.it\www.diretta.it_5_1_2,2024-04-29 00:35:39,286,284,0,0.0,Sports,5 minutes
www.diretta.it,5 min 1\www.diretta.it\www.diretta.it_5_1_2,5 min 1\www.diretta.it\www.diretta.it_5_1_3,2024-04-29 00:40:59,284,284,0,0.0,Sports,5 minutes
www.diretta.it,5 min 1\www.diretta.it\www.diretta.it_5_1_3,5 min 1\www.diretta.it\www.diretta.it_5_1_4,2024-04-29 00:46:25,284,284,0,0.0,Sports,5 minutes
www.doubtnut.com,5 min 1\www.doubtnut.com\www.doubtnut.com_5_1_1,5 min 1\www.doubtnut.com\www.doubtnut.com_5_1_2,2024-04-29 00:35:07,12,12,0,0.0,Education,5 minutes
www.doubtnut.com,5 min 1\www.doubtnut.com\www.doubtnut.com_5_1_2,5 min 1\www.doubtnut.com\www.doubtnut.com_5_1_3,2024-04-29 00:39:54,12,12,0,0.0,Education,5 minutes
www.doubtnut.com,5 min 1\www.doubtnut.com\www.doubtnut.com_5_1_3,5 min 1\www.doubtnut.com\www.doubtnut.com_5_1_4,2024-04-29 00:44:42,12,12,0,0.0,Education,5 minutes
www.dzexams.com,5 min 1\www.dzexams.com\www.dzexams.com_5_1_1,5 min 1\www.dzexams.com\www.dzexams.com_5_1_2,2024-04-27 20:23:32,5,0,0,0.0,Education,5 minutes
www.ebay.com,5 min 1\www.ebay.com\www.ebay.com_5_1_1,5 min 1\www.ebay.com\www.ebay.com_5_1_2,2024-04-27 20:37:19,12,13,0,0.0,Online Retail,5 minutes
www.goojara.to,5 min 1\www.goojara.to\www.goojara.to_5_1_1,5 min 1\www.goojara.to\www.goojara.to_5_1_2,2024-04-27 20:19:51,6,7,0,0.0,Entertainment,5 minutes
www.goojara.to,5 min 1\www.goojara.to\www.goojara.to_5_1_2,5 min 1\www.goojara.to\www.goojara.to_5_1_3,2024-04-27 20:25:14,7,7,0,0.0,Entertainment,5 minutes
www.goojara.to,5 min 1\www.goojara.to\www.goojara.to_5_1_3,5 min 1\www.goojara.to\www.goojara.to_5_1_4,2024-04-27 20:30:45,7,7,0,0.0,Entertainment,5 minutes
www.gov.br,5 min 1\www.gov.br\www.gov.br_5_1_1,5 min 1\www.gov.br\www.gov.br_5_1_2,2024-04-27 21:42:39,13,13,0,0.0,Government,5 minutes
www.gov.br,5 min 1\www.gov.br\www.gov.br_5_1_2,5 min 1\www.gov.br\www.gov.br_5_1_3,2024-04-27 21:51:40,13,13,0,0.0,Government,5 minutes
www.gov.uk,5 min 1\www.gov.uk\www.gov.uk_5_1_1,5 min 1\www.gov.uk\www.gov.uk_5_1_2,2024-04-27 20:17:51,3,3,0,0.0,Government,5 minutes
www.gov.uk,5 min 1\www.gov.uk\www.gov.uk_5_1_2,5 min 1\www.gov.uk\www.gov.uk_5_1_3,2024-04-27 20:23:05,3,3,0,0.0,Government,5 minutes
www.gov.uk,5 min 1\www.gov.uk\www.gov.uk_5_1_3,5 min 1\www.gov.uk\www.gov.uk_5_1_4,2024-04-27 20:28:24,3,3,0,0.0,Government,5 minutes
www.healthline.com,5 min 1\www.healthline.com\www.healthline.com_5_1_1,5 min 1\www.healthline.com\www.healthline.com_5_1_2,2024-04-29 00:35:27,38,38,0,0.0,Health,5 minutes
www.healthline.com,5 min 1\www.healthline.com\www.healthline.com_5_1_2,5 min 1\www.healthline.com\www.healthline.com_5_1_3,2024-04-29 00:40:31,38,38,0,0.0,Health,5 minutes
www.healthline.com,5 min 1\www.healthline.com\www.healthline.com_5_1_3,5 min 1\www.healthline.com\www.healthline.com_5_1_4,2024-04-29 00:45:31,38,38,0,0.0,Health,5 minutes
www.lemonde.fr,5 min 1\www.lemonde.fr\www.lemonde.fr_5_1_1,5 min 1\www.lemonde.fr\www.lemonde.fr_5_1_2,2024-04-27 20:18:10,23,25,1,4.3478260869565215,News,5 minutes
www.lemonde.fr,5 min 1\www.lemonde.fr\www.lemonde.fr_5_1_2,5 min 1\www.lemonde.fr\www.lemonde.fr_5_1_3,2024-04-27 20:23:56,25,23,1,4.0,News,5 minutes
www.lemonde.fr,5 min 1\www.lemonde.fr\www.lemonde.fr_5_1_3,5 min 1\www.lemonde.fr\www.lemonde.fr_5_1_4,2024-04-27 20:30:27,23,24,1,4.3478260869565215,News,5 minutes
www.livescore.com,5 min 1\www.livescore.com\www.livescore.com_5_1_1,5 min 1\www.livescore.com\www.livescore.com_5_1_2,2024-04-27 20:22:11,42,11,0,0.0,Sports,5 minutes
www.livescore.com,5 min 1\www.livescore.com\www.livescore.com_5_1_2,5 min 1\www.livescore.com\www.livescore.com_5_1_3,2024-04-27 20:31:56,11,0,0,0.0,Sports,5 minutes
www.netflix.com,5 min 1\www.netflix.com\www.netflix.com_5_1_1,5 min 1\www.netflix.com\www.netflix.com_5_1_2,2024-04-27 20:30:56,6,5,0,0.0,Entertainment,5 minutes
www.nikkansports.com,5 min 1\www.nikkansports.com\www.nikkansports.com_5_1_1,5 min 1\www.nikkansports.com\www.nikkansports.com_5_1_2,2024-04-27 21:40:48,10,10,0,0.0,Sports,5 minutes
www.nikkansports.com,5 min 1\www.nikkansports.com\www.nikkansports.com_5_1_2,5 min 1\www.nikkansports.com\www.nikkansports.com_5_1_3,2024-04-27 21:48:00,10,10,0,0.0,Sports,5 minutes
www.paypal.com,5 min 1\www.paypal.com\www.paypal.com_5_1_1,5 min 1\www.paypal.com\www.paypal.com_5_1_2,2024-04-27 21:39:42,6,7,6,100.0,Economy/Finance,5 minutes
www.paypal.com,5 min 1\www.paypal.com\www.paypal.com_5_1_2,5 min 1\www.paypal.com\www.paypal.com_5_1_3,2024-04-27 21:45:56,7,6,6,85.71428571428571,Economy/Finance,5 minutes
www.paypal.com,5 min 1\www.paypal.com\www.paypal.com_5_1_3,5 min 1\www.paypal.com\www.paypal.com_5_1_4,2024-04-27 21:52:07,6,7,6,100.0,Economy/Finance,5 minutes
www.primevideo.com,5 min 1\www.primevideo.com\www.primevideo.com_5_1_1,5 min 1\www.primevideo.com\www.primevideo.com_5_1_2,2024-04-27 20:30:50,5,1,0,0.0,Entertainment,5 minutes
www.starhealth.in,5 min 1\www.starhealth.in\www.starhealth.in_5_1_1,5 min 1\www.starhealth.in\www.starhealth.in_5_1_2,2024-04-29 00:35:06,0,0,0,0.0,Health,5 minutes
www.starhealth.in,5 min 1\www.starhealth.in\www.starhealth.in_5_1_2,5 min 1\www.starhealth.in\www.starhealth.in_5_1_3,2024-04-29 00:39:52,0,0,0,0.0,Health,5 minutes
www.starhealth.in,5 min 1\www.starhealth.in\www.starhealth.in_5_1_3,5 min 1\www.starhealth.in\www.starhealth.in_5_1_4,2024-04-29 00:44:36,0,0,0,0.0,Health,5 minutes
www.tjk.org,5 min 1\www.tjk.org\www.tjk.org_5_1_1,5 min 1\www.tjk.org\www.tjk.org_5_1_2,2024-04-27 20:19:36,30,30,1,3.333333333333333,Weather,5 minutes
www.tjk.org,5 min 1\www.tjk.org\www.tjk.org_5_1_2,5 min 1\www.tjk.org\www.tjk.org_5_1_3,2024-04-27 20:26:02,30,30,1,3.333333333333333,Weather,5 minutes
www.tjk.org,5 min 1\www.tjk.org\www.tjk.org_5_1_3,5 min 1\www.tjk.org\www.tjk.org_5_1_4,2024-04-27 20:38:38,30,0,0,0.0,Weather,5 minutes
www.turkiye.gov.tr,5 min 1\www.turkiye.gov.tr\www.turkiye.gov.tr_5_1_1,5 min 1\www.turkiye.gov.tr\www.turkiye.gov.tr_5_1_2,2024-04-29 00:35:19,30,30,0,0.0,Government,5 minutes
www.turkiye.gov.tr,5 min 1\www.turkiye.gov.tr\www.turkiye.gov.tr_5_1_2,5 min 1\www.turkiye.gov.tr\www.turkiye.gov.tr_5_1_3,2024-04-29 00:40:17,30,30,0,0.0,Government,5 minutes
www.turkiye.gov.tr,5 min 1\www.turkiye.gov.tr\www.turkiye.gov.tr_5_1_3,5 min 1\www.turkiye.gov.tr\www.turkiye.gov.tr_5_1_4,2024-04-29 00:45:04,30,30,0,0.0,Government,5 minutes
www.typing.com,5 min 1\www.typing.com\www.typing.com_5_1_1,5 min 1\www.typing.com\www.typing.com_5_1_2,2024-04-27 20:19:00,20,20,0,0.0,Education,5 minutes
www.typing.com,5 min 1\www.typing.com\www.typing.com_5_1_2,5 min 1\www.typing.com\www.typing.com_5_1_3,2024-04-27 20:25:10,20,20,0,0.0,Education,5 minutes
www.typing.com,5 min 1\www.typing.com\www.typing.com_5_1_3,5 min 1\www.typing.com\www.typing.com_5_1_4,2024-04-27 20:33:02,20,7,0,0.0,Education,5 minutes
www.verywellhealth.com,5 min 1\www.verywellhealth.com\www.verywellhealth.com_5_1_1,5 min 1\www.verywellhealth.com\www.verywellhealth.com_5_1_2,2024-04-27 20:29:04,21,13,0,0.0,Health,5 minutes
aniwatchtv.to,5 min 2\aniwatchtv.to\aniwatchtv.to_5_2_1,5 min 2\aniwatchtv.to\aniwatchtv.to_5_2_2,2024-04-29 01:00:52,7,7,0,0.0,Entertainment,5 minutes
aniwatchtv.to,5 min 2\aniwatchtv.to\aniwatchtv.to_5_2_2,5 min 2\aniwatchtv.to\aniwatchtv.to_5_2_3,2024-04-29 01:05:15,7,7,0,0.0,Entertainment,5 minutes
aniwatchtv.to,5 min 2\aniwatchtv.to\aniwatchtv.to_5_2_3,5 min 2\aniwatchtv.to\aniwatchtv.to_5_2_4,2024-04-29 01:09:36,7,7,0,0.0,Entertainment,5 minutes
aniwatchtv.to,5 min 2\aniwatchtv.to\aniwatchtv.to_5_2_4,5 min 2\aniwatchtv.to\aniwatchtv.to_5_2_5,2024-04-29 01:13:59,7,7,0,0.0,Entertainment,5 minutes
es.aliexpress.com,5 min 2\es.aliexpress.com\es.aliexpress.com_5_2_1,5 min 2\es.aliexpress.com\es.aliexpress.com_5_2_2,2024-04-28 19:38:45,76,72,2,2.631578947368421,Online Retail,5 minutes
finance.yahoo.com,5 min 2\finance.yahoo.com\finance.yahoo.com_5_2_1,5 min 2\finance.yahoo.com\finance.yahoo.com_5_2_2,,30,0,0,0.0,Economy/Finance,5 minutes
health.findanyanswer.net,5 min 2\health.findanyanswer.net\health.findanyanswer.net_5_2_1,5 min 2\health.findanyanswer.net\health.findanyanswer.net_5_2_2,2024-04-29 01:01:07,16,16,0,0.0,Health,5 minutes
health.findanyanswer.net,5 min 2\health.findanyanswer.net\health.findanyanswer.net_5_2_2,5 min 2\health.findanyanswer.net\health.findanyanswer.net_5_2_3,2024-04-29 01:05:32,16,16,0,0.0,Health,5 minutes
